"","Species","Natural_Resident","Introduced","Endemic","Likely"
"102","Lithobates palustris (LeConte, 1825)","Canada, United States of America, United States of America - Alabama, United States of America - Arkansas, United States of America - Connecticut, United States of America - Delaware, United States of America - District of Columbia, United States of America - Florida, United States of America - Georgia, United States of America - Illinois, United States of America - Indiana, United States of America - Iowa, United States of America - Kansas, United States of America - Kentucky, United States of America - Louisiana, United States of America - Maine, United States of America - Maryland, United States of America - Massachusetts, United States of America - Michigan, United States of America - Minnesota, United States of America - Mississippi, United States of America - Missouri, United States of America - New Hampshire, United States of America - New Jersey, United States of America - New York, United States of America - North Carolina, United States of America - Ohio, United States of America - Oklahoma, United States of America - Pennsylvania, United States of America - Rhode Island, United States of America - South Carolina, United States of America - Tennessee, United States of America - Texas, United States of America - Vermont, United States of America - Virginia, United States of America - West Virginia, United States of America - Wisconsin","","",""
"103","Lithobates pipiens (Schreber, 1782)","Canada, United States of America, United States of America - Arizona, United States of America - California, United States of America - Colorado, United States of America - Connecticut, United States of America - Idaho, United States of America - Illinois, United States of America - Indiana, United States of America - Iowa, United States of America - Kentucky, United States of America - Maine, United States of America - Maryland, United States of America - Massachusetts, United States of America - Michigan, United States of America - Minnesota, United States of America - Missouri, United States of America - Montana, United States of America - Nebraska, United States of America - Nevada, United States of America - New Hampshire, United States of America - New Mexico, United States of America - New York, United States of America - North Dakota, United States of America - Ohio, United States of America - Oregon, United States of America - Pennsylvania, United States of America - Rhode Island, United States of America - South Dakota, United States of America - Texas, United States of America - Utah, United States of America - Vermont, United States of America - Washington, United States of America - West Virginia, United States of America - Wisconsin, United States of America - Wyoming","","",""
"104","Lithobates sevosus (Goin and Netting, 1940)","United States of America, United States of America - Alabama, United States of America - Louisiana, United States of America - Mississippi","","United States of America",""
"105","Lithobates sphenocephalus (Cope, 1886)","United States of America, United States of America - Alabama, United States of America - Arkansas, United States of America - Delaware, United States of America - District of Columbia, United States of America - Florida, United States of America - Georgia, United States of America - Illinois, United States of America - Indiana, United States of America - Iowa, United States of America - Kansas, United States of America - Kentucky, United States of America - Louisiana, United States of America - Maryland, United States of America - Mississippi, United States of America - Missouri, United States of America - New Jersey, United States of America - New York, United States of America - North Carolina, United States of America - Ohio, United States of America - Oklahoma, United States of America - Pennsylvania, United States of America - South Carolina, United States of America - Tennessee, United States of America - Texas, United States of America - Virginia","Bahamas, United States of America - Arizona, United States of America - California","United States of America",""
"106","Lithobates tarahumarae (Boulenger, 1917)","Mexico, United States of America, United States of America - Arizona","","",""
"107","Lithobates yavapaiensis (Platz and Frost, 1984)","Mexico, United States of America, United States of America - Arizona, United States of America - California, United States of America - Nevada, United States of America - New Mexico","","",""
"108","Rhinophrynus dorsalis Duméril and Bibron, 1841","Belize, Costa Rica, El Salvador, Guatemala, Honduras, Mexico, Nicaragua, United States of America, United States of America - Texas","","",""
"109","Scaphiopus couchii Baird, 1854","Mexico, United States of America, United States of America - Arizona, United States of America - California, United States of America - Colorado, United States of America - New Mexico, United States of America - Oklahoma, United States of America - Texas","","",""
"110","Scaphiopus holbrookii (Harlan, 1835)","United States of America, United States of America - Alabama, United States of America - Arkansas, United States of America - Connecticut, United States of America - Delaware, United States of America - Florida, United States of America - Georgia, United States of America - Illinois, United States of America - Indiana, United States of America - Kentucky, United States of America - Louisiana, United States of America - Maryland, United States of America - Massachusetts, United States of America - Mississippi, United States of America - Missouri, United States of America - New Jersey, United States of America - New York, United States of America - North Carolina, United States of America - Ohio, United States of America - Pennsylvania, United States of America - Rhode Island, United States of America - South Carolina, United States of America - Tennessee, United States of America - Virginia, United States of America - West Virginia","","United States of America",""
"111","Scaphiopus hurterii Strecker, 1910","United States of America, United States of America - Arkansas, United States of America - Louisiana, United States of America - Oklahoma, United States of America - Texas","","United States of America","NA"
"112","Spea bombifrons (Cope, 1863)","Canada, Mexico, United States of America, United States of America - Arizona, United States of America - Arkansas, United States of America - Colorado, United States of America - Iowa, United States of America - Kansas, United States of America - Missouri, United States of America - Montana, United States of America - Nebraska, United States of America - New Mexico, United States of America - North Dakota, United States of America - Oklahoma, United States of America - South Dakota, United States of America - Texas, United States of America - Utah, United States of America - Wyoming","","",""
"113","Spea hammondii (Baird, 1859)","Mexico, United States of America, United States of America - California","","",""
"114","Spea intermontana (Cope, 1883)","Canada, United States of America, United States of America - Arizona, United States of America - California, United States of America - Colorado, United States of America - Idaho, United States of America - Nevada, United States of America - Oregon, United States of America - Utah, United States of America - Washington, United States of America - Wyoming","","",""
"115","Spea multiplicata (Cope, 1863)","Mexico, United States of America, United States of America - Arizona, United States of America - Colorado, United States of America - New Mexico, United States of America - Oklahoma, United States of America - Texas, United States of America - Utah","","",""
"116","Ambystoma annulatum Cope, 1886","United States of America, United States of America - Arkansas, United States of America - Missouri, United States of America - Oklahoma","","United States of America",""
"117","Ambystoma barbouri Kraus and Petranka, 1989","United States of America, United States of America - Indiana, United States of America - Kentucky, United States of America - Ohio, United States of America - Tennessee, United States of America - West Virginia","","United States of America",""
"118","Ambystoma bishopi Goin, 1950","United States of America, United States of America - Alabama, United States of America - Florida, United States of America - Georgia","","United States of America",""
"119","Ambystoma californiense Gray, 1853","United States of America, United States of America - California","","United States of America, United States of America - California",""
"120","Ambystoma cingulatum Cope, 1868","United States of America, United States of America - Florida, United States of America - Georgia, United States of America - South Carolina","","United States of America",""
"121","Ambystoma gracile (Baird, 1859)","Canada, United States of America, United States of America - Alaska, United States of America - California, United States of America - Oregon, United States of America - Washington","","",""
"122","Ambystoma jeffersonianum (Green, 1827)","Canada, United States of America, United States of America - Connecticut, United States of America - Illinois, United States of America - Indiana, United States of America - Kentucky, United States of America - Maine, United States of America - Maryland, United States of America - Massachusetts, United States of America - New Hampshire, United States of America - New Jersey, United States of America - New York, United States of America - Ohio, United States of America - Pennsylvania, United States of America - Vermont, United States of America - Virginia, United States of America - West Virginia","","",""
"123","Ambystoma laterale Hallowell, 1856","Canada, United States of America, United States of America - Connecticut, United States of America - Illinois, United States of America - Indiana, United States of America - Iowa, United States of America - Maine, United States of America - Massachusetts, United States of America - Michigan, United States of America - Minnesota, United States of America - New Hampshire, United States of America - New Jersey, United States of America - New York, United States of America - Ohio, United States of America - Rhode Island, United States of America - Vermont, United States of America - Wisconsin","","",""
"124","Ambystoma mabeei Bishop, 1928","United States of America, United States of America - North Carolina, United States of America - South Carolina, United States of America - Virginia","","United States of America",""
"125","Ambystoma macrodactylum Baird, 1850","Canada, United States of America, United States of America - Alaska, United States of America - California, United States of America - Idaho, United States of America - Montana, United States of America - Oregon, United States of America - Washington","","",""
"126","Ambystoma maculatum (Shaw, 1802)","Canada, United States of America, United States of America - Alabama, United States of America - Arkansas, United States of America - Connecticut, United States of America - Delaware, United States of America - District of Columbia, United States of America - Georgia, United States of America - Illinois, United States of America - Indiana, United States of America - Kentucky, United States of America - Louisiana, United States of America - Maine, United States of America - Maryland, United States of America - Massachusetts, United States of America - Michigan, United States of America - Minnesota, United States of America - Mississippi, United States of America - Missouri, United States of America - New Hampshire, United States of America - New Jersey, United States of America - New York, United States of America - North Carolina, United States of America - Ohio, United States of America - Oklahoma, United States of America - Pennsylvania, United States of America - Rhode Island, United States of America - South Carolina, United States of America - Tennessee, United States of America - Texas, United States of America - Vermont, United States of America - Virginia, United States of America - West Virginia, United States of America - Wisconsin","","",""
"127","Ambystoma mavortium Baird, 1850","Canada, Mexico, United States of America, United States of America - Arizona, United States of America - Colorado, United States of America - Idaho, United States of America - Kansas, United States of America - Montana, United States of America - Nebraska, United States of America - Nevada, United States of America - New Mexico, United States of America - North Dakota, United States of America - Oklahoma, United States of America - Oregon, United States of America - South Dakota, United States of America - Texas, United States of America - Utah, United States of America - Washington, United States of America - Wyoming","United States of America - Arizona, United States of America - California, United States of America - Nevada, United States of America - Oregon, United States of America - Washington","",""
"128","Ambystoma opacum (Gravenhorst, 1807)","United States of America, United States of America - Alabama, United States of America - Arkansas, United States of America - Connecticut, United States of America - Delaware, United States of America - District of Columbia, United States of America - Florida, United States of America - Georgia, United States of America - Illinois, United States of America - Indiana, United States of America - Kentucky, United States of America - Louisiana, United States of America - Maryland, United States of America - Massachusetts, United States of America - Michigan, United States of America - Mississippi, United States of America - Missouri, United States of America - New Hampshire, United States of America - New Jersey, United States of America - New York, United States of America - North Carolina, United States of America - Ohio, United States of America - Oklahoma, United States of America - Pennsylvania, United States of America - Rhode Island, United States of America - South Carolina, United States of America - Tennessee, United States of America - Texas, United States of America - Virginia, United States of America - West Virginia","","United States of America",""
"129","Ambystoma talpoideum (Holbrook, 1838)","United States of America, United States of America - Alabama, United States of America - Arkansas, United States of America - Florida, United States of America - Georgia, United States of America - Illinois, United States of America - Indiana, United States of America - Kentucky, United States of America - Louisiana, United States of America - Mississippi, United States of America - Missouri, United States of America - North Carolina, United States of America - Oklahoma, United States of America - South Carolina, United States of America - Tennessee, United States of America - Texas, United States of America - Virginia","","United States of America",""
"130","Ambystoma texanum (Matthes, 1855)","Canada, United States of America, United States of America - Alabama, United States of America - Arkansas, United States of America - Illinois, United States of America - Indiana, United States of America - Iowa, United States of America - Kansas, United States of America - Kentucky, United States of America - Louisiana, United States of America - Michigan, United States of America - Mississippi, United States of America - Missouri, United States of America - Nebraska, United States of America - Ohio, United States of America - Oklahoma, United States of America - Tennessee, United States of America - Texas","","",""
"131","Ambystoma tigrinum (Green, 1825)","Canada, United States of America, United States of America - Alabama, United States of America - Arkansas, United States of America - Delaware, United States of America - District of Columbia, United States of America - Florida, United States of America - Georgia, United States of America - Illinois, United States of America - Indiana, United States of America - Iowa, United States of America - Kansas, United States of America - Kentucky, United States of America - Louisiana, United States of America - Maryland, United States of America - Michigan, United States of America - Minnesota, United States of America - Mississippi, United States of America - Missouri, United States of America - Nebraska, United States of America - New Jersey, United States of America - New York, United States of America - North Carolina, United States of America - Ohio, United States of America - Oklahoma, United States of America - Pennsylvania, United States of America - South Carolina, United States of America - South Dakota, United States of America - Tennessee, United States of America - Texas, United States of America - Virginia, United States of America - Wisconsin","","",""
"132","Dicamptodon aterrimus (Cope, 1868)","United States of America, United States of America - Idaho, United States of America - Montana","","United States of America",""
"133","Dicamptodon copei Nussbaum, 1970","United States of America, United States of America - Oregon, United States of America - Washington","","United States of America",""
"134","Dicamptodon ensatus (Eschscholtz, 1833)","United States of America, United States of America - California","","United States of America, United States of America - California",""
"135","Dicamptodon tenebrosus (Baird and Girard, 1852)","Canada, United States of America, United States of America - California, United States of America - Oregon, United States of America - Washington","","",""
"136","Amphiuma means Garden, 1821","United States of America, United States of America - Alabama, United States of America - Florida, United States of America - Georgia, United States of America - Louisiana, United States of America - Mississippi, United States of America - North Carolina, United States of America - South Carolina, United States of America - Virginia","","United States of America",""
"137","Amphiuma pholeter Neill, 1964","United States of America, United States of America - Alabama, United States of America - Florida, United States of America - Georgia, United States of America - Mississippi","","United States of America",""
"138","Amphiuma tridactylum Cuvier, 1827","United States of America, United States of America - Alabama, United States of America - Arkansas, United States of America - Indiana, United States of America - Kentucky, United States of America - Louisiana, United States of America - Mississippi, United States of America - Missouri, United States of America - Oklahoma, United States of America - Tennessee, United States of America - Texas","","United States of America",""
"139","Cryptobranchus alleganiensis (Sonnini de Manoncourt and Latreille, 1801)","United States of America, United States of America - Alabama, United States of America - Arkansas, United States of America - Georgia, United States of America - Illinois, United States of America - Indiana, United States of America - Kentucky, United States of America - Maryland, United States of America - Mississippi, United States of America - Missouri, United States of America - New York, United States of America - North Carolina, United States of America - Ohio, United States of America - Pennsylvania, United States of America - South Carolina, United States of America - Tennessee, United States of America - Virginia, United States of America - West Virginia","","United States of America",""
"140","Batrachoseps altasierrae Jockusch, Martínez-Solano, Hansen, and Wake, 2012","United States of America, United States of America - California","","United States of America, United States of America - California",""
"141","Batrachoseps aridus Brame, 1970","United States of America, United States of America - California","","United States of America, United States of America - California",""
"142","Batrachoseps attenuatus (Eschscholtz, 1833)","United States of America, United States of America - California, United States of America - Oregon","United States of America - Washington","United States of America",""
"143","Batrachoseps bramei Jockusch, Martínez-Solano, Hansen, and Wake, 2012","United States of America, United States of America - California","","United States of America, United States of America - California",""
"144","Batrachoseps campi Marlow, Brode, and Wake, 1979","United States of America, United States of America - California","","United States of America, United States of America - California",""
"145","Batrachoseps diabolicus Jockusch, Wake, and Yanev, 1998","United States of America, United States of America - California","","United States of America, United States of America - California",""
"146","Batrachoseps gabrieli Wake, 1996","United States of America, United States of America - California","","United States of America, United States of America - California",""
"147","Batrachoseps gavilanensis Jockusch, Yanev, and Wake, 2001","United States of America, United States of America - California","","United States of America, United States of America - California",""
"148","Batrachoseps gregarius Jockusch, Wake, and Yanev, 1998","United States of America, United States of America - California","","United States of America, United States of America - California",""
"149","Batrachoseps incognitus Jockusch, Yanev, and Wake, 2001","United States of America, United States of America - California","","United States of America, United States of America - California",""
"150","Batrachoseps kawia Jockusch, Wake, and Yanev, 1998","United States of America, United States of America - California","","United States of America, United States of America - California",""
"151","Batrachoseps luciae Jockusch, Yanev, and Wake, 2001","United States of America, United States of America - California","","United States of America, United States of America - California",""
"152","Batrachoseps major Camp, 1915","Mexico, United States of America, United States of America - California","United States of America - California","",""
"153","Batrachoseps minor Jockusch, Yanev, and Wake, 2001","United States of America, United States of America - California","","United States of America, United States of America - California",""
"154","Batrachoseps nigriventris Cope, 1869","United States of America, United States of America - California","","United States of America, United States of America - California",""
"155","Batrachoseps pacificus (Cope, 1865)","United States of America, United States of America - California","","United States of America, United States of America - California",""
"156","Batrachoseps regius Jockusch, Wake, and Yanev, 1998","United States of America, United States of America - California","","United States of America, United States of America - California",""
"157","Batrachoseps relictus Brame and Murray, 1968","United States of America, United States of America - California","","United States of America, United States of America - California",""
"158","Batrachoseps robustus Wake, Yanev, and Hansen, 2002","United States of America, United States of America - California","","United States of America, United States of America - California",""
"159","Batrachoseps simatus Brame and Murray, 1968","United States of America, United States of America - California","","United States of America, United States of America - California",""
"160","Batrachoseps stebbinsi Brame and Murray, 1968","United States of America, United States of America - California","","United States of America, United States of America - California",""
"161","Batrachoseps wakei Sweet and Jockusch, 2021","United States of America, United States of America - California","","United States of America, United States of America - California",""
"162","Batrachoseps wrighti (Bishop, 1937)","United States of America, United States of America - Oregon","","United States of America, United States of America - Oregon",""
"163","Eurycea aquatica Rose and Bush, 1963","United States of America, United States of America - Alabama, United States of America - Georgia, United States of America - Tennessee","","United States of America",""
"164","Eurycea arenicola Stuart, Beamer, Farrington, Beane, Chek, Pusser, Som, Stephan, Sever, and Braswell, 2020","United States of America, United States of America - North Carolina","","United States of America, United States of America - North Carolina",""
"165","Eurycea bislineata (Green, 1818)","Canada, United States of America, United States of America - Connecticut, United States of America - Delaware, United States of America - District of Columbia, United States of America - Maine, United States of America - Maryland, United States of America - Massachusetts, United States of America - Michigan, United States of America - New Hampshire, United States of America - New Jersey, United States of America - New York, United States of America - Ohio, United States of America - Pennsylvania, United States of America - Rhode Island, United States of America - Vermont, United States of America - Virginia, United States of America - West Virginia","","",""
"166","Eurycea braggi (Smith, 1968)","United States of America, United States of America - Arkansas","","United States of America, United States of America - Arkansas",""
"167","Eurycea chamberlaini Harrison and Guttman, 2003","United States of America, United States of America - North Carolina, United States of America - South Carolina","","United States of America",""
"168","Eurycea chisholmensis Chippindale, Price, Wiens, and Hillis, 2000","United States of America, United States of America - Texas","","United States of America, United States of America - Texas",""
"169","Eurycea cirrigera (Green, 1831)","United States of America, United States of America - Alabama, United States of America - Florida, United States of America - Georgia, United States of America - Illinois, United States of America - Indiana, United States of America - Kentucky, United States of America - Louisiana, United States of America - Mississippi, United States of America - North Carolina, United States of America - Ohio, United States of America - South Carolina, United States of America - Tennessee, United States of America - Virginia, United States of America - West Virginia","","United States of America",""
"170","Eurycea guttolineata (Holbrook, 1838)","United States of America, United States of America - Alabama, United States of America - Florida, United States of America - Georgia, United States of America - Kentucky, United States of America - Louisiana, United States of America - Mississippi, United States of America - North Carolina, United States of America - South Carolina, United States of America - Tennessee, United States of America - Virginia","","United States of America",""
"171","Eurycea hillisi Wray, Means, and Steppan, 2017","United States of America, United States of America - Alabama, United States of America - Florida, United States of America - Georgia","","United States of America",""
"172","Eurycea junaluska Sever, Dundee, and Sullivan, 1976","United States of America, United States of America - North Carolina, United States of America - Tennessee","","United States of America",""
"173","Eurycea latitans Smith and Potter, 1946","United States of America, United States of America - Texas","","United States of America, United States of America - Texas",""
"174","Eurycea longicauda (Green, 1818)","United States of America, United States of America - Alabama, United States of America - Delaware, United States of America - Georgia, United States of America - Illinois, United States of America - Indiana, United States of America - Kansas, United States of America - Kentucky, United States of America - Maryland, United States of America - Missouri, United States of America - New Jersey, United States of America - New York, United States of America - North Carolina, United States of America - Ohio, United States of America - Pennsylvania, United States of America - Tennessee, United States of America - Virginia, United States of America - West Virginia","","United States of America",""
"175","Eurycea lucifuga Rafinesque, 1822","United States of America, United States of America - Alabama, United States of America - Arkansas, United States of America - Georgia, United States of America - Illinois, United States of America - Indiana, United States of America - Kansas, United States of America - Kentucky, United States of America - Mississippi, United States of America - Missouri, United States of America - Ohio, United States of America - Oklahoma, United States of America - Tennessee, United States of America - Virginia, United States of America - West Virginia","","United States of America",""
"176","Eurycea melanopleura (Cope, 1894 ""1893"")","United States of America, United States of America - Arkansas, United States of America - Illinois, United States of America - Kansas, United States of America - Missouri, United States of America - Oklahoma","","United States of America",""
"177","Eurycea multiplicata (Cope, 1869)","United States of America, United States of America - Arkansas, United States of America - Oklahoma","","United States of America",""
"178","Eurycea nana Bishop, 1941","United States of America, United States of America - Texas","","United States of America, United States of America - Texas",""
"179","Eurycea naufragia Chippindale, Price, Wiens, and Hillis, 2000","United States of America, United States of America - Texas","","United States of America, United States of America - Texas",""
"180","Eurycea neotenes Bishop and Wright, 1937","United States of America, United States of America - Texas","","United States of America, United States of America - Texas",""
"181","Eurycea nerea (Bishop, 1944)","United States of America, United States of America - Arkansas, United States of America - Missouri","","United States of America",""
"182","Eurycea paludicola (Mittleman, 1947)","United States of America, United States of America - Arkansas, United States of America - Louisiana, United States of America - Mississippi, United States of America - Texas","","United States of America",""
"183","Eurycea pterophila Burger, Smith, and Potter, 1950","United States of America, United States of America - Texas","","United States of America, United States of America - Texas",""
"184","Eurycea quadridigitata (Holbrook, 1842)","United States of America, United States of America - Florida, United States of America - Georgia, United States of America - Louisiana, United States of America - North Carolina, United States of America - South Carolina","","United States of America","NA"
"185","Eurycea rathbuni (Stejneger, 1896)","United States of America, United States of America - Texas","","United States of America, United States of America - Texas",""
"186","Eurycea robusta (Longley, 1978)","United States of America, United States of America - Texas","","United States of America, United States of America - Texas",""
"187","Eurycea sosorum Chippindale, Price, and Hillis, 1993","United States of America, United States of America - Texas","","United States of America, United States of America - Texas",""
"188","Eurycea spelaea (Stejneger, 1892)","United States of America, United States of America - Arkansas, United States of America - Kansas, United States of America - Missouri, United States of America - Oklahoma","","United States of America",""
"189","Eurycea sphagnicola Wray, Means, and Steppan, 2017","United States of America, United States of America - Alabama, United States of America - Florida, United States of America - Mississippi","","United States of America",""
"190","Eurycea subfluvicola Steffen, Irwin, Blair, and Bonett, 2014","United States of America, United States of America - Arkansas","","United States of America, United States of America - Arkansas",""
"191","Eurycea tonkawae Chippindale, Price, Wiens, and Hillis, 2000","United States of America, United States of America - Texas","","United States of America, United States of America - Texas",""
"192","Eurycea troglodytes Baker, 1957","United States of America, United States of America - Texas","","United States of America, United States of America - Texas",""
"193","Eurycea tynerensis Moore and Hughes, 1939","United States of America, United States of America - Arkansas, United States of America - Kansas, United States of America - Missouri, United States of America - Oklahoma","","United States of America",""
"194","Eurycea wallacei (Carr, 1939)","United States of America, United States of America - Florida, United States of America - Georgia","","United States of America",""
"195","Eurycea waterlooensis Hillis, Chamberlain, Wilcox, and Chippindale, 2001","United States of America, United States of America - Texas","","United States of America, United States of America - Texas",""
"196","Eurycea wilderae Dunn, 1920","United States of America, United States of America - Georgia, United States of America - North Carolina, United States of America - South Carolina, United States of America - Tennessee, United States of America - Virginia","","United States of America",""
"197","Gyrinophilus gulolineatus Brandon, 1965","United States of America, United States of America - Tennessee","","United States of America, United States of America - Tennessee",""
"198","Gyrinophilus palleucus McCrady, 1954","United States of America, United States of America - Alabama, United States of America - Georgia, United States of America - Tennessee","","United States of America",""
"199","Gyrinophilus porphyriticus (Green, 1827)","Canada, United States of America, United States of America - Alabama, United States of America - Connecticut, United States of America - Georgia, United States of America - Kentucky, United States of America - Maine, United States of America - Maryland, United States of America - Massachusetts, United States of America - Mississippi, United States of America - New Hampshire, United States of America - New Jersey, United States of America - New York, United States of America - North Carolina, United States of America - Ohio, United States of America - Pennsylvania, United States of America - Rhode Island, United States of America - South Carolina, United States of America - Tennessee, United States of America - Vermont, United States of America - Virginia, United States of America - West Virginia","","",""
"200","Gyrinophilus subterraneus Besharse and Holsinger, 1977","United States of America, United States of America - West Virginia","","United States of America, United States of America - West Virginia",""
"201","Hemidactylium scutatum (Temminck, 1838)","Canada, United States of America, United States of America - Alabama, United States of America - Arkansas, United States of America - Connecticut, United States of America - Delaware, United States of America - Florida, United States of America - Georgia, United States of America - Illinois, United States of America - Indiana, United States of America - Kentucky, United States of America - Louisiana, United States of America - Maine, United States of America - Maryland, United States of America - Massachusetts, United States of America - Michigan, United States of America - Minnesota, United States of America - Mississippi, United States of America - Missouri, United States of America - New Hampshire, United States of America - New Jersey, United States of America - New York, United States of America - North Carolina, United States of America - Ohio, United States of America - Oklahoma, United States of America - Pennsylvania, United States of America - Rhode Island, United States of America - South Carolina, United States of America - Tennessee, United States of America - Vermont, United States of America - Virginia, United States of America - West Virginia, United States of America - Wisconsin","","",""
"202","Pseudotriton diastictus Bishop, 1941","United States of America, United States of America - Georgia, United States of America - Indiana, United States of America - Kentucky, United States of America - Ohio, United States of America - Tennessee, United States of America - Virginia, United States of America - West Virginia","","United States of America",""
"203","Pseudotriton flavissimus Hallowell, 1856","United States of America, United States of America - Alabama, United States of America - Florida, United States of America - Georgia, United States of America - Louisiana, United States of America - Mississippi","","United States of America",""
"204","Pseudotriton montanus Baird, 1850","United States of America, United States of America - Delaware, United States of America - Georgia, United States of America - Maryland, United States of America - New Jersey, United States of America - New York, United States of America - North Carolina, United States of America - Pennsylvania, United States of America - South Carolina, United States of America - Virginia","","United States of America",""
"205","Pseudotriton ruber (Sonnini de Manoncourt and Latreille, 1801)","United States of America, United States of America - Alabama, United States of America - Delaware, United States of America - District of Columbia, United States of America - Florida, United States of America - Georgia, United States of America - Indiana, United States of America - Kentucky, United States of America - Louisiana, United States of America - Maryland, United States of America - Mississippi, United States of America - New Jersey, United States of America - North Carolina, United States of America - Ohio, United States of America - Pennsylvania, United States of America - South Carolina, United States of America - Tennessee, United States of America - Virginia, United States of America - West Virginia","","United States of America",""
"206","Stereochilus marginatus (Hallowell, 1856)","United States of America, United States of America - Florida, United States of America - Georgia, United States of America - North Carolina, United States of America - South Carolina, United States of America - Virginia","","United States of America",""
"207","Urspelerpes brucei Camp, Peterman, Milanovich, Lamb, Maerz, and Wake, 2009","United States of America, United States of America - Georgia, United States of America - South Carolina","","United States of America, United States of America - Georgia",""
"208","Aneides aeneus (Cope and Packard, 1881)","United States of America, United States of America - Alabama, United States of America - Georgia, United States of America - Kentucky, United States of America - Maryland, United States of America - Mississippi, United States of America - North Carolina, United States of America - Ohio, United States of America - Pennsylvania, United States of America - South Carolina, United States of America - Tennessee, United States of America - Virginia, United States of America - West Virginia","","United States of America",""
"209","Aneides caryaensis Patton, Apodaca, Corser, Wilson, Williams, Cameron, and Wake, 2019","United States of America, United States of America - North Carolina","","United States of America, United States of America - North Carolina",""
"210","Aneides ferreus Cope, 1869","United States of America, United States of America - California, United States of America - Oregon","","United States of America",""
"211","Aneides flavipunctatus (Strauch, 1870)","United States of America, United States of America - California","","United States of America, United States of America - California",""
"212","Aneides hardii (Taylor, 1941)","United States of America, United States of America - New Mexico","","United States of America, United States of America - New Mexico",""
"213","Aneides iecanus (Cope, 1883)","United States of America, United States of America - California","","United States of America, United States of America - California",""
"214","Aneides klamathensis Reilly and Wake, 2019","United States of America, United States of America - California, United States of America - Oregon","","United States of America",""
"215","Aneides lugubris (Hallowell, 1849)","Mexico, United States of America, United States of America - California","","",""
"216","Aneides niger Myers and Maslin, 1948","United States of America, United States of America - California","","United States of America, United States of America - California",""
"217","Aneides vagrans Wake and Jackman, 1999","United States of America, United States of America - California","Canada","United States of America, United States of America - California",""
"218","Desmognathus abditus Anderson and Tilley, 2003","United States of America, United States of America - Tennessee","","United States of America, United States of America - Tennessee",""
"219","Desmognathus adatsihi Pyron and Beamer, 2022","United States of America, United States of America - North Carolina, United States of America - Tennessee","","United States of America",""
"220","Desmognathus aeneus Brown and Bishop, 1947","United States of America, United States of America - Alabama, United States of America - Georgia, United States of America - North Carolina, United States of America - Tennessee","","United States of America",""
"221","Desmognathus amphileucus Bishop, 1941","United States of America, United States of America - Georgia, United States of America - North Carolina, United States of America - South Carolina, United States of America - Tennessee","","United States of America",""
"222","Desmognathus anicetus Pyron and Beamer, 2023","United States of America, United States of America - South Carolina","","United States of America","NA"
"223","Desmognathus apalachicolae Means and Karlin, 1989","United States of America, United States of America - Alabama, United States of America - Florida, United States of America - Georgia","","United States of America",""
"224","Desmognathus aureatus (Martof, 1956)","United States of America, United States of America - Georgia, United States of America - South Carolina","","United States of America",""
"225","Desmognathus auriculatus (Holbrook, 1838)","United States of America, United States of America - Alabama, United States of America - Florida, United States of America - Georgia","","United States of America",""
"226","Desmognathus bairdi Pyron and Beamer, 2023","United States of America, United States of America - North Carolina, United States of America - South Carolina, United States of America - Virginia","","United States of America",""
"227","Desmognathus balsameus Pyron and Beamer, 2022","United States of America, United States of America - North Carolina","","United States of America, United States of America - North Carolina",""
"228","Desmognathus brimleyorum Stejneger, 1895","United States of America, United States of America - Arkansas, United States of America - Oklahoma","","United States of America",""
"229","Desmognathus campi  Pyron and Beamer, 2023","United States of America, United States of America - Georgia, United States of America - North Carolina, United States of America - South Carolina","","United States of America",""
"230","Desmognathus carolinensis Dunn, 1916","United States of America, United States of America - North Carolina, United States of America - Tennessee","","United States of America",""
"231","Desmognathus catahoula Pyron and Beamer, 2023","United States of America, United States of America - Louisiana, United States of America - Texas","","United States of America","NA"
"232","Desmognathus cheaha Pyron, O'Connell, Duncan, Burbrink, and Beamer, 2023","United States of America, United States of America - Alabama, United States of America - Florida, United States of America - Georgia","","United States of America",""
"233","Desmognathus conanti Rossman, 1958","United States of America, United States of America - Alabama, United States of America - Florida, United States of America - Georgia, United States of America - Illinois, United States of America - Kentucky, United States of America - Louisiana, United States of America - Mississippi, United States of America - Missouri, United States of America - North Carolina, United States of America - Tennessee","","United States of America","NA"
"234","Desmognathus folkertsi Camp, Tilley, Austin, and Marshall, 2002","United States of America, United States of America - Georgia, United States of America - North Carolina","","United States of America",""
"235","Desmognathus fuscus (Green, 1818)","Canada, United States of America, United States of America - Connecticut, United States of America - Delaware, United States of America - District of Columbia, United States of America - Indiana, United States of America - Kentucky, United States of America - Maine, United States of America - Maryland, United States of America - Massachusetts, United States of America - New Hampshire, United States of America - New Jersey, United States of America - New York, United States of America - North Carolina, United States of America - Ohio, United States of America - Pennsylvania, United States of America - Rhode Island, United States of America - Tennessee, United States of America - Vermont, United States of America - Virginia, United States of America - West Virginia","","",""
"236","Desmognathus gvnigeusgwotli  Pyron and Beamer, 2022","United States of America, United States of America - North Carolina, United States of America - Tennessee","","United States of America",""
"237","Desmognathus imitator Dunn, 1927","United States of America, United States of America - North Carolina, United States of America - Tennessee","","United States of America",""
"238","Desmognathus intermedius (Pope, 1928)","United States of America, United States of America - North Carolina, United States of America - Tennessee","","United States of America",""
"239","Desmognathus kanawha Pyron and Beamer, 2022","United States of America, United States of America - North Carolina, United States of America - Virginia, United States of America - West Virginia","","United States of America",""
